专业技术职务,荣誉奖项,科研项目,电子邮箱,所在院校,性别,url,最高学位,教育经历,姓名,行政职务,毕业学校,研究方向,工作经历,备注,联系电话,在岗性质,社会兼职
,,,,,,http://dscx.yjs.nchu.edu.cn/homepage/101.html,,,伏燕军,,,,,,,,
,,,,,,http://dscx.yjs.nchu.edu.cn/homepage/376.html,,,李凤,,,,,,,,
,,,,,,http://dscx.yjs.nchu.edu.cn/homepage/479.html,,,程强强,,,,,,,,
,,,,,,http://dscx.yjs.nchu.edu.cn/homepage/491.html,,,陈尧,,,,,,,,
,,,,,,http://dscx.yjs.nchu.edu.cn/homepage/100.html,,,段军红,,,,,,,,
,,,,,,http://dscx.yjs.nchu.edu.cn/homepage/285.html,,,袁丽华,,,,,,,,
,,,,,,http://dscx.yjs.nchu.edu.cn/homepage/378.html,,,刘娟,,,,,,,,
,,,,,,http://dscx.yjs.nchu.edu.cn/homepage/444.html,,,江光裕,,,,,,,,
,,,,,,http://dscx.yjs.nchu.edu.cn/homepage/291.html,,,李志农,,,,,,,,
,,,,,,http://dscx.yjs.nchu.edu.cn/homepage/489.html,,,石文泽,,,,,,,,
,,,,,,http://dscx.yjs.nchu.edu.cn/homepage/443.html,,,黄彦,,,,,,,,
,,,,,,http://dscx.yjs.nchu.edu.cn/homepage/95.html,,,方利华,,,,,,,,
,,,,,,http://dscx.yjs.nchu.edu.cn/homepage/286.html,,,常俊杰,,,,,,,,
,,,,,,http://dscx.yjs.nchu.edu.cn/homepage/294.html,,,邬冠华,,,,,,,,
,,,,,,http://dscx.yjs.nchu.edu.cn/homepage/296.html,,,夏桂锁,,,,,,,,
,,,,,,http://dscx.yjs.nchu.edu.cn/homepage/104.html,,,肖慧荣,,,,,,,,
,,,,,,http://dscx.yjs.nchu.edu.cn/homepage/295.html,,,于润桥,,,,,,,,
,,,,,,http://dscx.yjs.nchu.edu.cn/homepage/639.html,,,郭广平,,,,,,,,
,,,,,,http://dscx.yjs.nchu.edu.cn/homepage/656.html,,,郑晖,,,,,,,,
,,,,,,http://dscx.yjs.nchu.edu.cn/homepage/659.html,,,廉德良,,,,,,,,
,,,,,,http://dscx.yjs.nchu.edu.cn/homepage/667.html,,,刘昌奎,,,,,,,,
,,,,,,http://dscx.yjs.nchu.edu.cn/homepage/668.html,,,王俊涛,,,,,,,,
,,,,,,http://dscx.yjs.nchu.edu.cn/homepage/737.html,,,郭状,,,,,,,,
,,,,,,http://dscx.yjs.nchu.edu.cn/homepage/741.html,,,揭丽琳,,,,,,,,
