姓名,url,dept
赵宏,https://ist.xjtu.edu.cn/info/1073/1298.htm,光学检测技术研究所
乐开端,https://ist.xjtu.edu.cn/info/1073/1308.htm,光学检测技术研究所
杨青,https://ist.xjtu.edu.cn/info/1073/1309.htm,光学检测技术研究所
谢玫珍,https://ist.xjtu.edu.cn/info/1073/1305.htm,光学检测技术研究所
张璐,https://ist.xjtu.edu.cn/info/1073/1301.htm,光学检测技术研究所
彭锦峰,https://ist.xjtu.edu.cn/info/1073/1311.htm,光学检测技术研究所
赵自新,https://ist.xjtu.edu.cn/info/1073/1312.htm,光学检测技术研究所
范亮亮,https://ist.xjtu.edu.cn/info/1073/1304.htm,光学检测技术研究所
张春伟,https://ist.xjtu.edu.cn/info/1073/1315.htm,光学检测技术研究所
彭年才,https://ist.xjtu.edu.cn/info/1074/1317.htm,生物检测与仪器研究所
韦学勇,https://ist.xjtu.edu.cn/info/1074/1318.htm,生物检测与仪器研究所
景蔚萱,https://ist.xjtu.edu.cn/info/1074/1319.htm,生物检测与仪器研究所
前田龙太郎,https://ist.xjtu.edu.cn/info/1074/1316.htm,生物检测与仪器研究所
胡飞,https://ist.xjtu.edu.cn/info/1074/1344.htm,生物检测与仪器研究所
李磊,https://ist.xjtu.edu.cn/info/1074/1345.htm,生物检测与仪器研究所
赵明辉,https://ist.xjtu.edu.cn/info/1074/1320.htm,生物检测与仪器研究所
张传禹,https://ist.xjtu.edu.cn/info/1074/1321.htm,生物检测与仪器研究所
赵书豪,https://ist.xjtu.edu.cn/info/1074/1322.htm,生物检测与仪器研究所
张天翼,https://ist.xjtu.edu.cn/info/1074/1323.htm,生物检测与仪器研究所
张盼,https://ist.xjtu.edu.cn/info/1074/1696.htm,生物检测与仪器研究所
赵立波,https://ist.xjtu.edu.cn/info/1075/1324.htm,智能传感与系统研究所
王久洪,https://ist.xjtu.edu.cn/info/1075/1325.htm,智能传感与系统研究所
林启敬,https://ist.xjtu.edu.cn/info/1075/1328.htm,智能传感与系统研究所
李支康,https://ist.xjtu.edu.cn/info/1075/1327.htm,智能传感与系统研究所
​罗国希,https://ist.xjtu.edu.cn/info/1075/1326.htm,智能传感与系统研究所
王琛英,https://ist.xjtu.edu.cn/info/1075/1329.htm,智能传感与系统研究所
韩枫,https://ist.xjtu.edu.cn/info/1075/1330.htm,智能传感与系统研究所
陈瑶,https://ist.xjtu.edu.cn/info/1075/1368.htm,智能传感与系统研究所
赵一凡,https://ist.xjtu.edu.cn/info/1075/1697.htm,智能传感与系统研究所
赵娜,https://ist.xjtu.edu.cn/info/1075/1373.htm,智能传感与系统研究所
张颖,https://ist.xjtu.edu.cn/info/1075/1705.htm,智能传感与系统研究所
高文迪,https://ist.xjtu.edu.cn/info/1075/1369.htm,智能传感与系统研究所
王路,https://ist.xjtu.edu.cn/info/1075/1370.htm,智能传感与系统研究所
韩香广,https://ist.xjtu.edu.cn/info/1075/1703.htm,智能传感与系统研究所
李敏,https://ist.xjtu.edu.cn/info/1075/1371.htm,智能传感与系统研究所
孟庆之,https://ist.xjtu.edu.cn/info/1075/1378.htm,智能传感与系统研究所
夏勇,https://ist.xjtu.edu.cn/info/1075/1381.htm,智能传感与系统研究所
张福政,https://ist.xjtu.edu.cn/info/1075/1375.htm,智能传感与系统研究所
赵一鹤,https://ist.xjtu.edu.cn/info/1075/1693.htm,智能传感与系统研究所
姚坤,https://ist.xjtu.edu.cn/info/1075/1699.htm,智能传感与系统研究所
贾琛,https://ist.xjtu.edu.cn/info/1075/1695.htm,智能传感与系统研究所
汤晓君,https://ist.xjtu.edu.cn/info/1076/1335.htm,智能检测技术与系统研究所
梁霖,https://ist.xjtu.edu.cn/info/1076/1350.htm,智能检测技术与系统研究所
张勇,https://ist.xjtu.edu.cn/info/1076/1336.htm,智能检测技术与系统研究所
刘懿莹,https://ist.xjtu.edu.cn/info/1076/1341.htm,智能检测技术与系统研究所
侯成刚,https://ist.xjtu.edu.cn/info/1076/1349.htm,智能检测技术与系统研究所
张庆,https://ist.xjtu.edu.cn/info/1076/1337.htm,智能检测技术与系统研究所
曾翔君,https://ist.xjtu.edu.cn/info/1076/1338.htm,智能检测技术与系统研究所
刘 弹,https://ist.xjtu.edu.cn/info/1076/1339.htm,智能检测技术与系统研究所
刘飞,https://ist.xjtu.edu.cn/info/1076/1340.htm,智能检测技术与系统研究所
张小辉,https://ist.xjtu.edu.cn/info/1076/1342.htm,智能检测技术与系统研究所
董涛,https://ist.xjtu.edu.cn/info/1094/1691.htm,学科交叉-X中心
毛琦,https://ist.xjtu.edu.cn/info/1094/1710.htm,学科交叉-X中心
