姓名,性别,职称,导师级别,url
王书涛,男,教授,博士生导师,http://web.ysu.edu.cn/WST/zh_CN/index.htm
孔德明,男,教授,博士生导师,http://web.ysu.edu.cn/KDM/zh_CN/index.htm
李昕,女,教授,博士生导师,http://web.ysu.edu.cn/LX/zh_CN/index.htm
时培明,男,教授,博士生导师,http://web.ysu.edu.cn/SPM/zh_CN/index.htm
张玉存,男,教授,博士生导师,http://web.ysu.edu.cn/ZYC1/zh_CN/index.htm
张玉燕,女,教授,博士生导师,http://web.ysu.edu.cn/ZYY/zh_CN/index.htm
张淑清,女,教授,博士生导师,http://web.ysu.edu.cn/ZSQ/zh_CN/index.htm
陈颖,女,教授,博士生导师,http://web.ysu.edu.cn/CY/zh_CN/index.htm
孟宗,男,教授,博士生导师,http://web.ysu.edu.cn/MZ1/zh_CN/index.htm
郝晓辰,男,教授,博士生导师,http://web.ysu.edu.cn/HXC/zh_CN/index.htm
胡春海,男,教授,博士生导师,http://web.ysu.edu.cn/HCH/zh_CN/index.htm
侯培国,男,教授,博士生导师,http://web.ysu.edu.cn/HPG/zh_CN/index.htm
程淑红,女,教授,博士生导师,http://web.ysu.edu.cn/CSH/zh_CN/index.htm
温银堂,男,研究员,博士生导师,http://web.ysu.edu.cn/WYT2/zh_CN/index.htm
谢平,女,教授,博士生导师,http://web.ysu.edu.cn/XP/zh_CN/index.htm
付荣荣,女,副教授,博士生导师,http://web.ysu.edu.cn/FRR/zh_CN/index.htm
江国乾,男,副教授,博士生导师,http://web.ysu.edu.cn/jiang/zh_CN/index.htm
张云刚,男,副教授,博士生导师,http://web.ysu.edu.cn/ZYG1/zh_CN/index.htm
张立国,男,副教授,博士生导师,http://web.ysu.edu.cn/ZLG/zh_CN/index.htm
赵彦涛,男,副教授,博士生导师,http://web.ysu.edu.cn/ZYT/zh_CN/index.htm
王志斌,男,教授,硕士生导师,http://web.ysu.edu.cn/WZB/zh_CN/index.htm
田广军,男,教授,硕士生导师,http://web.ysu.edu.cn/TGJ/zh_CN/index.htm
张颖,男,教授,硕士生导师,
金海龙,男,教授,硕士生导师,
郑龙江,男,教授,硕士生导师,http://web.ysu.edu.cn/ZLJ/zh_CN/index.htm
徐永红,男,教授,硕士生导师,http://web.ysu.edu.cn/XYH/zh_CN/index.htm
景军,男,教授,硕士生导师,
童凯,男,教授,硕士生导师,
朱丹丹,女,副教授,硕士生导师,http://web.ysu.edu.cn/ZDD/zh_CN/index.htm
刘永红,男,副教授,硕士生导师,
刘海龙,男,副教授,硕士生导师,http://web.ysu.edu.cn/LHL/zh_CN/index.htm
刘斌,男,副教授,硕士生导师,http://web.ysu.edu.cn/LB5/zh_CN/index.htm
孙超,男,副教授,硕士生导师,http://web.ysu.edu.cn/SC/zh_CN/index.htm
李继猛,男,副教授,硕士生导师,http://web.ysu.edu.cn/LJM2/zh_CN/index.htm
吴希军,男,副教授,硕士生导师,http://web.ysu.edu.cn/WXJ/zh_CN/index.htm
吴晓光,男,副教授,硕士生导师,http://web.ysu.edu.cn/WXG/zh_CN/index.htm
何群,男,副教授,硕士生导师,http://web.ysu.edu.cn/HQ/zh_CN/index.htm
陈华,男,副教授,硕士生导师,http://web.ysu.edu.cn/CH3/zh_CN/index.htm
陈晓玲,女,副教授,硕士生导师,http://web.ysu.edu.cn/CXL1/zh_CN/index.htm
林洪彬,男,副教授,硕士生导师,http://web.ysu.edu.cn/LHB6/zh_CN/index.htm
金梅,女,副教授,硕士生导师,http://web.ysu.edu.cn/JM1/zh_CN/index.htm
郑成博,男,副教授,硕士生导师,http://web.ysu.edu.cn/ZCB/zh_CN/index.htm
赵勇,男,副教授,硕士生导师,http://web.ysu.edu.cn/ZY/zh_CN/index.htm
徐伟,男,副教授,硕士生导师,http://web.ysu.edu.cn/XW/zh_CN/index.htm
高涵鹏,男,副教授,硕士生导师,https://web.ysu.edu.cn/gaohanpeng/zh_CN/index.htm
韩立强,男,副教授,硕士生导师,http://web.ysu.edu.cn/HLQ/zh_CN/index.htm
温江涛,男,副教授,硕士生导师,http://web.ysu.edu.cn/WJT/zh_CN/index.htm
潘钊,男,副教授,硕士生导师,http://web.ysu.edu.cn/PZ/zh_CN/index.htm
王娟,女,讲师,硕士生导师,http://web.ysu.edu.cn/wangjuan/zh_CN/index.htm
许全盛,男,讲师,硕士生导师,http://web.ysu.edu.cn/XQS1/zh_CN/index.htm
许学方,男,讲师,硕士生导师,
杜义浩,男,讲师,硕士生导师,http://web.ysu.edu.cn/DYH/zh_CN/index.htm
张宇,男,讲师,硕士生导师,https://web.ysu.edu.cn/ZY33/zh_CN/index.htm
郭士亮,男,讲师,硕士生导师,http://web.ysu.edu.cn/GSL/zh_CN/index.htm
曹利霄,女,讲师,硕士生导师,http://web.ysu.edu.cn/CLX/zh_CN/index.htm
崔法毅,男,讲师,硕士生导师,
王娜,女,讲师,无,
刘刚,男,讲师,无,
杨丽丽,女,讲师,无,
吴娜,女,讲师,无,
孟辉,男,讲师,无,http://web.ysu.edu.cn/MH/zh_CN/index.htm
