姓名,url,title
卿新林,https://iee.xmu.edu.cn//2019/0222/c13309a362881/page.htm,教授
张建寰,https://iee.xmu.edu.cn//2016/1209/c13309a240314/page.htm,教授
洪永强,https://iee.xmu.edu.cn//2016/1209/c13309a240311/page.htm,教授
冯勇建,https://iee.xmu.edu.cn//2016/1209/c13309a240315/page.htm,教授
曾志伟,https://iee.xmu.edu.cn//2016/1209/c13309a240309/page.htm,教授
何坚,https://iee.xmu.edu.cn//2016/1209/c13309a240312/page.htm,教授
方正,https://iee.xmu.edu.cn//2016/1209/c13309a240308/page.htm,教授
曾念寅,https://iee.xmu.edu.cn//2016/1210/c13309a243127/page.htm,教授
郑高峰,https://iee.xmu.edu.cn//2016/1210/c13309a243119/page.htm,教授
陈文芗,https://iee.xmu.edu.cn//2017/1101/c13309a315503/page.htm,教授
范贤光,https://iee.xmu.edu.cn//2016/1210/c13309a243120/page.htm,教授
何良宗,https://iee.xmu.edu.cn//2016/1210/c13309a243121/page.htm,教授
王奕首,https://iee.xmu.edu.cn//2016/1210/c13309a243124/page.htm,教授
李卫彬,https://iee.xmu.edu.cn//2016/1210/c13309a243115/page.htm,教授
陈桂鹏,https://iee.xmu.edu.cn//2020/0102/c13310a392076/page.htm,副教授
陈延平,https://iee.xmu.edu.cn//2016/1210/c13310a243122/page.htm,副教授
程翔,https://iee.xmu.edu.cn//2019/0703/c13310a372663/page.htm,副教授
关明杰,https://iee.xmu.edu.cn//2016/1210/c13310a243123/page.htm,副教授
黄澜涛,https://iee.xmu.edu.cn//2016/1210/c13310a243128/page.htm,副教授
刘益芳,https://iee.xmu.edu.cn//2016/1210/c13310a243116/page.htm,副教授
李钷,https://iee.xmu.edu.cn//2016/1210/c13310a243132/page.htm,副教授
柳娟,https://iee.xmu.edu.cn//2016/1210/c13310a243118/page.htm,副教授
孙虎,https://iee.xmu.edu.cn//2016/1210/c13310a425608/page.htm,副教授
王昕,https://iee.xmu.edu.cn//2016/1210/c13310a243117/page.htm,副教授
杨媛媛,https://iee.xmu.edu.cn//2022/0317/c13310a449198/page.htm,副教授
曾涛,https://iee.xmu.edu.cn//2016/1210/c13310a243126/page.htm,副教授
张景瑞,https://iee.xmu.edu.cn//2016/1210/c13310a243130/page.htm,副教授
郑建毅,https://iee.xmu.edu.cn//2016/1210/c13310a243114/page.htm,副教授
陈腾鹏,https://iee.xmu.edu.cn//2018/0330/c13311a335828/page.htm,助理教授
刘琦牮,https://iee.xmu.edu.cn//2022/0317/c13311a449199/page.htm,助理教授
徐周毅,https://iee.xmu.edu.cn//2022/0518/c13311a455972/page.htm,助理教授
薛文东,https://iee.xmu.edu.cn//2016/1210/c13311a243125/page.htm,助理教授
颜黄苹,https://iee.xmu.edu.cn//2019/0703/c13311a372666/page.htm,助理教授
张增星,https://iee.xmu.edu.cn//2022/0913/c13311a460133/page.htm,助理教授
张陈涛,https://iee.xmu.edu.cn//2021/0609/c13311a434730/page.htm,助理教授
林俊明,https://iee.xmu.edu.cn//2016/1223/c13438a247185/page.htm,兼职/客座教授
阮新波,https://iee.xmu.edu.cn//2018/0330/c13438a335812/page.htm,兼职/客座教授
袁慎芳,https://iee.xmu.edu.cn//2018/0330/c13438a335818/page.htm,兼职/客座教授
赵国昌,https://iee.xmu.edu.cn//2018/0330/c13438a335820/page.htm,兼职/客座教授
